,enmo_h0,enmo_h1,enmo_h10,enmo_h11,enmo_h12,enmo_h13,enmo_h14,enmo_h15,enmo_h16,enmo_h17,enmo_h18,enmo_h19,enmo_h2,enmo_h20,enmo_h21,enmo_h22,enmo_h23,enmo_h3,enmo_h4,enmo_h5,enmo_h6,enmo_h7,enmo_h8,enmo_h9,enmo_w1,enmo_w10,enmo_w101,enmo_w11,enmo_w12,enmo_w13,enmo_w14,enmo_w15,enmo_w16,enmo_w17,enmo_w18,enmo_w19,enmo_w2,enmo_w20,enmo_w21,enmo_w22,enmo_w23,enmo_w24,enmo_w25,enmo_w26,enmo_w27,enmo_w28,enmo_w29,enmo_w3,enmo_w30,enmo_w31,enmo_w32,enmo_w33,enmo_w34,enmo_w35,enmo_w36,enmo_w37,enmo_w38,enmo_w39,enmo_w4,enmo_w40,enmo_w41,enmo_w42,enmo_w43,enmo_w44,enmo_w45,enmo_w46,enmo_w47,enmo_w48,enmo_w49,enmo_w5,enmo_w50,enmo_w51,enmo_w52,enmo_w53,enmo_w54,enmo_w55,enmo_w56,enmo_w57,enmo_w58,enmo_w59,enmo_w6,enmo_w60,enmo_w61,enmo_w62,enmo_w63,enmo_w64,enmo_w65,enmo_w66,enmo_w67,enmo_w68,enmo_w69,enmo_w7,enmo_w70,enmo_w71,enmo_w72,enmo_w73,enmo_w74,enmo_w75,enmo_w76,enmo_w77,enmo_w78,enmo_w79,enmo_w8,enmo_w80,enmo_w81,enmo_w82,enmo_w83,enmo_w84,enmo_w85,enmo_w86,enmo_w87,enmo_w88,enmo_w89,enmo_w9,enmo_w90,enmo_w91,enmo_w92,enmo_w93,enmo_w94,enmo_w95,enmo_w96,enmo_w97,enmo_w99,id,light_h0,light_h1,light_h10,light_h11,light_h12,light_h13,light_h14,light_h15,light_h16,light_h17,light_h18,light_h19,light_h2,light_h20,light_h21,light_h22,light_h23,light_h3,light_h4,light_h5,light_h6,light_h7,light_h8,light_h9,light_w1,light_w10,light_w101,light_w11,light_w12,light_w13,light_w14,light_w15,light_w16,light_w17,light_w18,light_w19,light_w2,light_w20,light_w21,light_w22,light_w23,light_w24,light_w25,light_w26,light_w27,light_w28,light_w29,light_w3,light_w30,light_w31,light_w32,light_w33,light_w34,light_w35,light_w36,light_w37,light_w38,light_w39,light_w4,light_w40,light_w41,light_w42,light_w43,light_w44,light_w45,light_w46,light_w47,light_w48,light_w49,light_w5,light_w50,light_w51,light_w52,light_w53,light_w54,light_w55,light_w56,light_w57,light_w58,light_w59,light_w6,light_w60,light_w61,light_w62,light_w63,light_w64,light_w65,light_w66,light_w67,light_w68,light_w69,light_w7,light_w70,light_w71,light_w72,light_w73,light_w74,light_w75,light_w76,light_w77,light_w78,light_w79,light_w8,light_w80,light_w81,light_w82,light_w83,light_w84,light_w85,light_w86,light_w87,light_w88,light_w89,light_w9,light_w90,light_w91,light_w92,light_w93,light_w94,light_w95,light_w96,light_w97,light_w99
0,0.020951523,0.033221673,0.046532884,0.043808427,0.03095176,0.06581264,0.045689225,0.031532645,0.058525622,0.05301643,0.05800494,0.055546924,0.020948602,0.07423647,0.04346902,0.028201686,0.018228535,0.023095125,0.017830044,0.018095937,0.018389905,0.042395566,0.040717945,0.0343924,,0.056881752,,0.02741854,0.015196543,0.03723243,0.03637766,0.03390249,0.042280003,,0.0018662431,0.078743875,,0.0007503729,0.00636662,,0.0011150154,0.01026883,0.0010251527,0.022705736,0.0030218253,0.044197228,,,0.015739217,0.015503481,,2.7449926e-06,0.008615844,0.022891875,0.0016741623,0.0634618,,0.032445144,0.090690464,0.02920501,0.023870295,0.024558455,0.01910876,0.020838017,0.028969634,0.025312144,0.024067586,0.0675213,,0.06551139,,,,,,,,,,,0.049757924,,,,,,,,,,,0.036617693,,,,,,,,,,,0.008187519,,,,,,,,,,,0.09772291,,,,,,,,,,00115b9f,38.016872,12.162433,98.62654,99.66848,87.35312,36.97714,172.20074,9.710906,61.280163,18.158009,31.796326,12.957616,16.415262,7.0864863,11.000862,21.503443,28.634459,31.90607,33.81764,33.06196,28.64934,26.282324,17.601913,13.703326,,42.166214,,40.870968,4.009044,9.088736,73.07983,17.32573,101.551994,,1.714062,30.583546,,6.997277,6.7119308,,6.128595,5.8726115,5.5689116,5.311294,5.0410194,4.7713814,,,4.1042004,3.8999066,,3.289807,2.9915702,2.7267501,2.4117239,2.0989776,,1.4973261,33.471268,1.2397977,2.6856406,1.3480059,5.3097324,2.2836747,6.1302867,9.691541,9.412899,10.1732,,40.340485,,,,,,,,,,,21.597248,,,,,,,,,,,118.30583,,,,,,,,,,,1.9490131,,,,,,,,,,,13.224856,,,,,,,,,
1,0.002808012,0.008026896,0.02136456,0.023271147,0.038818743,0.019644601,0.030715875,0.026229143,0.018901907,0.023247762,0.018019,0.0132581545,0.0037502558,0.020595308,0.020903898,0.012081372,0.003678094,0.008161947,0.0066531585,0.0037821482,0.007252853,0.010537546,0.019608254,0.023650125,,0.009627058,,0.009639523,0.010563082,0.010356628,0.010569475,0.01150847,0.011274769,0.010611324,0.010700187,0.010319741,0.031802278,0.010131222,0.009601662,0.008804011,0.009101465,0.0048964703,0.012015609,,,,,0.011168917,,,,,,,,,,,0.018787295,,,,,,,,,,,0.017933968,,,,,,,,,,,0.019396853,,,,,,,,,,,0.013010645,,,,,,,,,,,0.012797967,,,,,,,,,,,0.021469314,,,,,,,,,,001f3379,4.4701204,4.5248613,24.554928,51.91815,96.74726,56.007465,154.41449,65.33289,46.91535,34.277927,23.47195,6.2016873,4.579602,4.0889297,4.515169,4.730569,4.280093,4.6343427,4.6890836,4.477026,3.5161278,10.422992,25.086334,57.52293,,12.254994,,0.7019972,2.1538093,11.391699,0.1766361,64.93423,1.7856865,0.682227,0.5973163,0.54873073,84.181114,2.212541,0.64721566,0.8578366,0.37419382,0.17727657,0.46435446,,,,,17.969828,,,,,,,,,,,64.1087,,,,,,,,,,,45.408985,,,,,,,,,,,22.920841,,,,,,,,,,,6.9876666,,,,,,,,,,,8.430686,,,,,,,,,,,24.121109,,,,,,,,,
2,0.0040102443,0.0037380257,0.049294803,0.039043833,0.1499188,0.073839165,0.054163244,0.07492208,0.045967005,0.030919313,0.04162385,0.038657818,0.003705274,0.040644974,0.027996687,0.018899528,0.009914383,0.004853409,0.0039539537,0.005208089,0.007074228,0.026085014,0.071709916,0.056604333,0.020584138,0.033845477,,0.03521369,0.06616322,0.0043252967,0.010249097,0.03034436,0.041169625,0.03438416,0.032638334,0.06561745,0.034368318,0.02368773,0.01878339,0.035998788,0.032987762,0.04789843,,,,,,0.029492352,,,,,,,,,,,0.041337878,,,,,,,,,,,0.04921479,,,,,,,,,,,0.026543604,,,,,,,,,,,0.010136084,,,,,,,,,,,0.03845102,,,,,,,,,,,0.03214028,,,,,,,,,,00f332d1,13.595711,14.507623,39.038483,94.322365,335.35016,212.48277,96.6936,138.14525,34.239292,84.07302,41.92884,27.92361,15.419535,14.480953,11.102257,11.102836,12.315547,16.331446,17.243359,18.155272,20.82618,26.846174,76.89475,108.58199,12.139367,7.2979956,,36.221546,63.889374,23.845379,24.738293,24.072989,75.93553,81.8477,70.14448,18.440985,18.028671,171.10677,10.915087,72.23968,57.29402,110.92112,,,,,,23.463404,,,,,,,,,,,18.532116,,,,,,,,,,,38.802223,,,,,,,,,,,358.38092,,,,,,,,,,,13.943903,,,,,,,,,,,34.138084,,,,,,,,,,,33.663876,,,,,,,,,
3,0.004876045,0.004869001,0.06500621,0.047939017,0.047176026,0.059867296,0.05266953,0.047561496,0.06435941,0.050109938,0.05154401,0.043296736,0.005068816,0.039512254,0.027337158,0.014296359,0.008118791,0.004198324,0.0060140365,0.0056864405,0.032367162,0.043711293,0.045763247,0.042274408,,0.03251518,,0.03644829,0.031275705,0.029115543,0.030554831,0.04352307,0.029618695,0.037317414,0.02890652,0.027042523,0.03760285,0.025475465,0.030647807,0.034530215,0.011071531,,,,,,,0.03525617,,,,,,,,,,,0.035884444,,,,,,,,,,,0.03981606,,,,,,,,,,,0.04297242,,,,,,,,,,,0.032969948,,,,,,,,,,,0.041747976,,,,,,,,,,,0.035182554,,,,,,,,,,01085eb3,11.757169,11.725771,17.634687,71.60258,49.290165,23.432371,25.384499,18.372587,13.108934,10.391028,10.207879,16.304888,11.815562,14.977528,12.731684,12.817873,11.817966,11.939033,12.062504,12.882673,10.296891,11.770081,17.703312,25.183878,,15.150532,,22.614986,6.8204036,16.41885,41.27705,18.885506,22.001818,18.02139,20.887224,11.439276,7.092083,15.753924,10.620777,29.16508,50.453953,,,,,,,14.36056,,,,,,,,,,,10.0521145,,,,,,,,,,,19.239544,,,,,,,,,,,4.6046934,,,,,,,,,,,28.550581,,,,,,,,,,,18.119493,,,,,,,,,,,13.530785,,,,,,,,,
4,0.005384285,0.0047055506,0.061734386,0.05065788,0.11243457,0.12627494,0.078224264,0.22800322,0.17378,0.06634985,0.07833292,0.11610418,0.0026390818,0.07068083,0.038676668,0.009630356,0.005789733,0.004881366,0.004025346,0.004735315,0.012432392,0.031999376,0.04844398,0.058147777,,0.0059082806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08935444,,,,,,,,,,,0.06441113,,,,,,,,,,,0.0450178,,,,,,,,,,,0.051328264,,,,,,,,,,,0.044230282,,,,,,,,,,,0.08523314,,,,,,,,,,012cadd8,7.786812,8.762021,205.7489,219.87524,214.1942,248.1804,136.89215,91.227516,31.000303,6.3265,10.377147,9.029748,9.73723,4.5055475,4.8864536,5.836394,6.811603,10.71244,11.687648,13.729838,12.556892,10.299354,25.684927,34.599117,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.60526,,,,,,,,,,,114.41666,,,,,,,,,,,77.441864,,,,,,,,,,,21.184536,,,,,,,,,,,14.140425,,,,,,,,,,,48.232033,,,,,,,,,
5,0.0026501105,0.0030664746,0.020513467,0.034209237,0.037649915,0.03251512,0.017353605,0.028182678,0.021748472,0.050649498,0.032017928,0.02056292,0.0039853207,0.013451271,0.0022855464,0.0013214278,0.0028679206,0.0044640843,0.0060877763,0.005031891,0.011918547,0.025439298,0.016751323,0.017289033,,0.060330793,,0.0097355675,0.017869076,0.018755572,0.015366501,0.005625372,0.0023363282,0.0032072142,,,0.03375188,,,0.00806516,,,,,,,,0.054181676,,,,,,,,,,,0.021752715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000701261,,,,,,,,,,,0.00046945296,,,,,,,,,,012e3869,10.160597,12.117111,23.092976,63.01052,49.31227,28.424454,12.342131,18.31532,15.632966,10.284518,10.100092,9.550667,13.635338,7.7718496,9.2555895,12.84674,12.42432,13.832488,13.416816,14.226788,17.648455,17.452185,16.002386,14.429814,,14.502269,,7.097391,46.124836,9.575424,14.197582,20.366545,25.000778,27.757772,,,2.7265186,,,15.25,,,,,,,,30.654268,,,,,,,,,,,10.618285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.981648,,,,,,,,,,,5.7298746,,,,,,,,,
6,0.012743138,0.009066991,0.04373273,0.041252486,0.034942158,0.047411248,0.045368277,0.038425595,0.03250082,0.044378925,0.032624926,0.026914539,0.011547663,0.018998347,0.020125574,0.016340911,0.013774808,0.011869393,0.010991297,0.013266177,0.021199979,0.031532213,0.037554458,0.04642262,,0.025794579,,0.033759177,0.015545999,0.028326744,0.019338943,0.036475744,0.03532438,0.031594317,0.03893584,0.038961235,0.020085562,0.020704934,0.015610787,0.040214185,0.00018027212,,,,,,,0.032639872,,,,,,,,,,,0.0146221295,,,,,,,,,,,0.033629864,,,,,,,,,,,0.024394901,,,,,,,,,,,0.022162788,,,,,,,,,,,0.03420301,,,,,,,,,,,0.020228224,,,,,,,,,,029a19c9,9.999988,10.926812,49.275864,25.64673,88.86884,47.658806,55.168606,21.036457,21.471375,9.814665,8.02056,6.6865587,11.455285,6.9559507,8.488255,8.410034,8.64601,11.983759,12.512233,13.040707,12.885108,55.63653,63.043156,111.67117,,11.848445,,16.090883,31.787348,7.0629797,25.365784,13.188344,21.285366,47.046555,20.031712,138.21161,10.728553,16.469017,55.953716,19.233856,3.1059866,,,,,,,9.364214,,,,,,,,,,,6.999607,,,,,,,,,,,28.068954,,,,,,,,,,,17.420916,,,,,,,,,,,7.2797503,,,,,,,,,,,47.261803,,,,,,,,,,,35.036114,,,,,,,,,
7,0.0055997716,0.0066023604,0.042749178,0.057141807,0.045915514,0.04679514,0.043581355,0.06686937,0.040940348,0.0417298,0.05130948,0.049934518,0.005196169,0.01911363,0.019788204,0.013015179,0.011695167,0.005141002,0.008794771,0.0055165705,0.006096986,0.020104844,0.028370764,0.029513171,,0.035651,,0.06328487,0.004681274,0.04236681,0.00083025586,0.0107803,0.014920305,0.0068546943,0.012529669,0.011465138,,,0.004420538,,0.007178145,0.008203917,0.008338041,0.008683791,0.0022451356,,,,,,,,,,,,,,,,,,,,,,,,,0.03587016,,,,,,,,,,,0.027189609,,,,,,,,,,,0.043512784,,,,,,,,,,,0.01283238,,,,,,,,,,,0.04361184,,,,,,,,,,02cebf33,7.4499927,16.67609,25.758696,20.181942,28.369802,57.762802,54.319202,192.1207,67.26109,86.094055,163.94347,111.90134,12.882075,94.551285,111.386856,46.13324,15.829952,9.451878,10.928063,9.900474,17.799625,14.93413,7.3910885,18.155678,,8.172963,,18.199978,23.301311,72.64178,16.131533,37.087204,37.888477,34.212765,30.326145,28.326345,,,20.092026,,13.662461,9.964809,6.5658126,3.5736036,18.60313,,,,,,,,,,,,,,,,,,,,,,,,,29.326738,,,,,,,,,,,12.72064,,,,,,,,,,,37.975628,,,,,,,,,,,11.072875,,,,,,,,,,,261.56787,,,,,,,,,
8,0.006049672,0.0053232703,0.038228385,0.049862728,0.04286352,0.04759392,0.03639784,0.05429512,0.0608288,0.046229526,0.029052524,0.023303475,0.0039863377,0.021338949,0.02250326,0.015494281,0.009757991,0.003984316,0.0023856128,0.005855773,0.019888962,0.033844143,0.041065358,0.026092853,,0.04589137,,0.02389917,0.042862017,0.009213186,0.019132903,0.034886163,0.03528861,0.011211905,0.027176758,0.050481863,,0.038167942,0.022431998,0.0,0.022025678,0.02614612,0.028736848,0.031051572,0.011743642,0.008052374,,,,,,,,,,,,,,,,,,,,,,,,0.044174008,,,,,,,,,,,0.014046031,,,,,,,,,,,0.009993173,,,,,,,,,,,0.028477686,,,,,,,,,,,0.030850064,,,,,,,,,,02cf7384,8.120348,7.9619,23.51492,30.816084,64.246956,29.686306,22.188988,37.845375,31.931013,12.158892,9.576683,6.5125175,7.5520005,7.489617,5.9777465,6.336523,6.258292,8.173209,9.123198,9.448112,7.4447865,9.031479,16.287695,28.452114,,49.17123,,18.020227,20.419775,7.3629,8.584165,20.279572,10.040243,2.2969232,15.663861,17.42245,,21.434162,4.543097,3.0665636,9.054051,19.301949,21.151133,12.910323,11.812111,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.9689867,,,,,,,,,,,8.605836,,,,,,,,,,,3.8033483,,,,,,,,,,,21.628588,,,,,,,,,,,44.944386,,,,,,,,,
9,0.027964331,0.019665845,0.007058565,0.011581595,0.016108107,0.040333215,0.073151596,0.08142534,0.059374887,0.027696181,0.032348774,0.024638176,0.016943717,0.033996195,0.02986648,0.046878297,0.016901487,0.005216739,0.00090369576,0.0014327596,0.0028090898,0.0014494034,0.026951302,0.016372854,,,,0.00033657637,,,,,,0.0003906286,,,,,,,,,,,,,,0.028786518,,,,,,,,,,,0.030275878,,,,,,,,,,,0.050675657,,,,,,,,,,,0.029770993,,,,,,,,,,,0.007363129,,,,,,,,,,,0.010315473,,,,,,,,,,,,,,,,,,,,,035c96dd,6.391184,6.973633,18.26797,24.922861,25.74858,62.280743,81.27619,30.017982,42.15418,11.579397,9.317109,7.2279077,4.871199,11.968851,7.1584697,7.314853,7.0809402,4.430732,5.0066595,12.5672865,8.23784,11.971364,36.35711,27.315258,,,,3.9982638,,,,,,35.26461,,,,,,,,,,,,,,18.24922,,,,,,,,,,,33.24726,,,,,,,,,,,39.010197,,,,,,,,,,,6.237206,,,,,,,,,,,8.655264,,,,,,,,,,,5.9635873,,,,,,,,,,,,,,,,,,,,
